bootcampJ2+23	2.398927089614743480e+01	6.394005021861505611e+01
bootcampJ12+17	1.700001264253702971e+01	3.008730055655989872e+02
bootcampJ5-28	-2.895575747380862097e+01	1.286395244585858109e+02
bootcampJ7-49	-4.974114023821799435e+01	1.725737426190134443e+02
bootcampJ4+1	1.559732403382263044e+00	1.115293329417817034e+02
bootcampJ6-22	-2.223428798437388565e+01	1.511639807902666917e+02
bootcampJ2-30	-3.055499806606058755e+01	5.218756252985453159e+01
bootcampJ7-21	-2.104752338401452505e+01	1.837986576397623821e+02
bootcampJ6+63	6.350281618802935668e+01	1.659448842539717077e+02
bootcampJ0-21	-2.147964107786188137e+01	1.206075172165486364e+01
bootcampJ7+1	1.052680618255720901e+00	1.710279996288871018e+02
bootcampJ12-37	-3.760750341884280346e+01	2.985265169363449331e+02
bootcampJ2+41	4.155070944910080755e+01	7.029674845317792631e+01
bootcampJ11-8	-8.660764909365447295e+00	2.664229336716604166e+02
bootcampJ13-22	-2.205657874761682891e+01	3.190221278174035433e+02
bootcampJ8+3	3.760020150274058892e+00	2.105380010595719114e+02
bootcampJ11+32	3.277857656795774233e+01	2.656100725848016282e+02
bootcampJ14-23	-2.353703421520928529e+01	3.475999166014473190e+02
bootcampJ3-45	-4.532368932634180680e+01	8.834644423534207647e+01
bootcampJ1-50	-5.074941356949464932e+01	4.246314602596218890e+01
bootcampJ1-8	-8.734429069231731901e+00	2.639704392906161701e+01
bootcampJ12-21	-2.168158066507416493e+01	3.036161857876620616e+02
bootcampJ8-11	-1.144101126252957634e+01	2.123404881368048791e+02
bootcampJ13+9	9.874496544827897182e+00	3.123712588124110994e+02
bootcampJ13+4	4.523172639490219638e+00	3.296049408162892860e+02
bootcampJ6+30	3.012528032802693190e+01	1.493973585266332975e+02
bootcampJ5-11	-1.125480717232900041e+01	1.270103677020877484e+02
bootcampJ6-70	-7.089696771347190918e+01	1.670051015203951579e+02
bootcampJ12+44	4.448145699636052086e+01	3.077917705918148386e+02
bootcampJ4-78	-7.835679556929407852e+01	1.064518153521385813e+02
bootcampJ8+101	1.015405038660121306e+02	1.966384284338670909e+02
bootcampJ13+31	3.124718518797618572e+01	3.161270735286278750e+02
bootcampJ14+73	7.318161556699320158e+01	3.409375571139143517e+02
bootcampJ9-38	-3.807974458399087325e+01	2.262376911280192360e+02
bootcampJ10+9	9.735360494248332941e+00	2.606906175706810131e+02
bootcampJ6+22	2.296424313993946242e+01	1.677654482349353202e+02
bootcampJ3+15	1.570829945760630686e+01	9.491425593374960101e+01
bootcampJ4-8	-8.232954694493749059e+00	1.182528664209268499e+02
bootcampJ6-37	-3.748031694207053022e+01	1.562714449516291495e+02
bootcampJ2+23	2.378710608866163767e+01	7.129194077879193969e+01
bootcampJ2-17	-1.787839164398099712e+01	6.496183356368337058e+01
bootcampJ8-21	-2.103209505279864189e+01	2.071065412791236042e+02
